session_id,WER_c1,WER_c2,DER_mix,DER_c1,DER_c2,red_c1,red_c2,sil_c1,sil_c2,SNR_c1,SNR_c2,result,fail_reasons
en_4310,0.028962611901000527,0.10619469026548672,0.0162,0.0182,0.0775,,,-40.89416091072765,-45.82758808523303,19.799652522247612,26.029968717496136,FAIL,WER(c2)=0.11; SNR(c1)=19.8
en_4315,0.12139423076923077,0.11378205128205128,0.0178,0.0995,0.0303,,,-58.27022680169388,-50.717670183596766,37.19553196298793,28.56725075294071,FAIL,WER(c1)=0.12; WER(c2)=0.11
en_4325,0.5557986870897156,0.1346153846153846,0.0681,0.0666,0.0728,,,-51.6882538358744,-46.62855563186662,25.632151997791066,20.595082330142247,FAIL,WER(c1)=0.56; WER(c2)=0.13; DER(mix)=0.07
en_4335,0.12760882528324388,0.07613636363636364,0.0031,0.0311,0.0013,,,-45.97308893059277,-61.76406871301164,15.49270441052185,36.762018723935334,FAIL,WER(c1)=0.13; SNR(c1)=15.5
en_4365,0.1111111111111111,0.10264686894770819,0.014,0.0374,0.0243,,,-47.59144007771144,-46.95420598823503,17.712559312822748,24.650884713002597,FAIL,WER(c1)=0.11; WER(c2)=0.10; SNR(c1)=17.7
en_4371,0.10175438596491228,0.2054794520547945,0.0312,0.0409,0.0663,,,-61.75556219824759,-49.27395462672321,35.58410147098202,24.478881349844173,FAIL,WER(c1)=0.10; WER(c2)=0.21
en_4415,0.2338403041825095,0.10092807424593968,0.1349,0.2255,0.0779,,,-32.18842480008791,-31.873364187533028,11.006532054142857,13.658752050029,FAIL,WER(c1)=0.23; WER(c2)=0.10; DER(mix)=0.13; DER(c1)=0.23; SNR(c1)=11.0; SNR(c2)=13.7; sil(c1)=-32.19; sil(c2)=-31.87
en_4431,0.04934687953555878,0.44325481798715205,0.0824,0.0844,0.0548,,,-48.07904005433563,-59.697213060949295,20.75069607986418,38.52230552370155,FAIL,WER(c2)=0.44; DER(mix)=0.08
en_4432,0.10246174318030606,0.41308089500860584,0.0453,0.0394,0.1155,,,-47.35682843525662,-52.28269586943548,24.270449981979326,19.84066213477382,FAIL,WER(c1)=0.10; WER(c2)=0.41; DER(c2)=0.12; SNR(c2)=19.8
en_4459,0.32170542635658916,0.08350840336134453,0.0017,0.003,0.0041,,,-66.50435820592277,-57.45961910107149,40.897047481394864,24.4378460025597,FAIL,WER(c1)=0.32
en_4485,0.38979118329466356,0.060461416070007955,0.0642,0.0731,0.0676,,,-58.79945785008743,-37.46563850337432,34.20505760420685,22.693871020966917,FAIL,WER(c1)=0.39; DER(mix)=0.06; sil(c2)=-37.47
en_4490,0.06967840735068913,0.22020431328036322,0.0344,0.0357,0.0473,,,-52.21552039088973,-48.89945653887153,30.599100689234856,28.89436275158205,FAIL,WER(c2)=0.22
en_4521,0.8502943650126157,0.14339981006647673,0.016,1.681,0.0358,,,-40.5907403374918,-44.6848218497026,15.795491897206341,26.979293279680906,FAIL,WER(c1)=0.85; WER(c2)=0.14; DER(c1)=1.68; SNR(c1)=15.8
en_4544,0.10668229777256741,0.22646784715750232,0.0098,0.0341,0.0504,,,-43.70354778894623,-44.194561110766244,26.49635517069253,17.625069994482892,FAIL,WER(c1)=0.11; WER(c2)=0.23; SNR(c2)=17.6
en_4556,0.15014436958614052,0.08079930495221546,0.0128,0.0347,0.0173,,,-50.528580642315944,-54.79403517725066,23.6988216102182,34.89729095245718,FAIL,WER(c1)=0.15
en_4564,0.10719754977029096,0.08531073446327683,0.0234,0.0641,0.0474,,,-40.968441257871156,-36.46292805062855,22.28863222550283,17.185923300697926,FAIL,WER(c1)=0.11; SNR(c2)=17.2; sil(c2)=-36.46
en_4569,0.09832635983263599,0.04482225656877898,0.0268,0.0729,0.0357,,,-41.5042879865547,-42.180248167823855,23.072821926676262,21.817998838785783,PASS,
